"seccion","X.x","munn.x","edon.x","disloc2015","disloc2017","disfed2017","X.y","edon.y","munn.y","escenario1","escenario2","escenario3_cg","escenario3","pan_cnv1","pri_clv1","panal_cnv2","pan_cnv2","prd_cnv2","pri_clv2","pt_clv2","pvem_clv2","esc1_panCNV1","esc1_priCLV1","esc2_panalCNV2","esc2_panCNV2","esc2_prdCNV2","esc2_priCLV2","esc2_ptCLV2","esc2_pvemCLV2","SQ","dsiSQ_E1","dsiSQ_E3"
197,193,30,26,4,4,2,193,26,30,14,14,15,14,14,2,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
198,194,30,26,4,4,2,194,26,30,14,14,15,14,14,2,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
199,195,30,26,4,4,2,195,26,30,14,14,15,14,14,2,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
200,196,30,26,4,4,2,196,26,30,14,14,15,14,14,2,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
201,197,30,26,4,4,2,197,26,30,14,14,15,14,14,3,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
202,198,30,26,4,4,2,198,26,30,14,14,15,14,14,3,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
203,199,30,26,4,4,2,199,26,30,14,14,15,14,14,3,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
204,200,30,26,4,4,2,200,26,30,14,14,15,14,14,3,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
205,201,30,26,4,4,2,201,26,30,14,14,15,14,14,3,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
206,202,30,26,4,4,2,202,26,30,15,15,15,15,15,3,15,15,15,8,2,10,1,0,1,1,1,0,0,0,5,0.705,0.705
207,203,30,26,5,5,2,203,26,30,15,15,15,15,15,3,15,15,15,8,2,10,1,0,1,1,1,0,0,0,5,0.705,0.705
208,204,30,26,5,5,2,204,26,30,14,14,15,14,14,3,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
209,205,30,26,5,5,2,205,26,30,15,15,15,15,15,3,15,15,15,8,2,10,1,0,1,1,1,0,0,0,5,0.705,0.705
210,206,30,26,5,5,2,206,26,30,15,15,15,15,15,3,15,15,15,8,2,10,1,0,1,1,1,0,0,0,5,0.705,0.705
211,207,30,26,4,4,2,207,26,30,14,14,15,14,14,3,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
212,208,30,26,5,5,2,208,26,30,14,14,15,14,14,2,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
213,209,30,26,5,5,2,209,26,30,14,14,15,14,14,2,14,14,14,7,2,10,1,0,1,1,1,0,0,0,4,0.593,0.585
214,210,30,26,5,5,2,210,26,30,14,14,15,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
215,211,30,26,5,5,2,211,26,30,15,15,14,15,15,2,15,15,15,8,6,11,1,0,1,1,1,0,0,0,5,0.705,0.705
216,212,30,26,5,5,2,212,26,30,15,15,14,15,15,2,15,15,15,8,6,11,1,0,1,1,1,0,0,0,5,0.705,0.705
217,213,30,26,5,5,2,213,26,30,15,15,14,15,15,2,15,15,15,8,6,11,1,0,1,1,1,0,0,0,5,0.705,0.705
218,214,30,26,5,5,2,214,26,30,15,15,15,15,15,2,15,15,15,8,2,10,1,0,1,1,1,0,0,0,5,0.705,0.705
219,215,30,26,5,5,2,215,26,30,15,15,15,15,15,3,15,15,15,8,2,10,1,0,1,1,1,0,0,0,5,0.705,0.705
220,216,30,26,5,5,2,216,26,30,15,15,15,15,15,3,15,15,15,8,2,10,1,0,1,1,1,0,0,0,5,0.705,0.705
221,217,30,26,5,5,2,217,26,30,15,15,15,15,15,3,15,15,15,8,2,10,1,0,1,1,1,0,0,0,5,0.705,0.705
222,218,30,26,5,5,2,218,26,30,15,15,14,15,15,2,15,15,15,8,6,11,1,0,1,1,1,0,0,0,5,0.705,0.705
223,219,30,26,5,5,2,219,26,30,15,15,14,15,15,2,15,15,15,8,2,10,1,0,1,1,1,0,0,0,5,0.705,0.705
225,220,30,26,5,5,2,220,26,30,15,15,14,15,15,2,15,15,15,8,2,10,1,0,1,1,1,0,0,0,5,0.705,0.705
226,221,30,26,5,5,2,221,26,30,15,15,14,15,15,2,15,15,15,8,2,11,1,0,1,1,1,0,0,0,5,0.705,0.705
228,222,30,26,5,5,2,222,26,30,14,14,14,14,14,3,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
229,223,30,26,5,5,2,223,26,30,14,14,14,14,14,3,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
230,224,30,26,5,5,2,224,26,30,14,14,14,14,14,2,14,14,14,7,6,11,1,0,1,1,1,0,0,0,4,0.593,0.585
231,225,30,26,5,5,2,225,26,30,15,15,15,15,15,3,15,15,15,8,2,10,1,0,1,1,1,0,0,0,5,0.705,0.705
232,226,31,26,3,3,3,226,26,31,2,2,2,2,2,2,2,2,3,19,5,3,1,1,1,1,0,0,0,0,3,0.718,0.718
233,227,32,26,18,18,1,227,26,32,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
234,228,32,26,18,18,1,228,26,32,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
235,229,32,26,18,18,1,229,26,32,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
236,230,32,26,18,18,1,230,26,32,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
238,231,32,26,18,18,1,231,26,32,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
239,232,32,26,18,18,1,232,26,32,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
240,233,32,26,18,18,1,233,26,32,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
241,234,32,26,18,18,1,234,26,32,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
243,235,32,26,18,18,1,235,26,32,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
244,236,32,26,18,18,1,236,26,32,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
245,237,32,26,18,18,1,237,26,32,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
246,238,32,26,18,18,1,238,26,32,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
247,239,33,26,6,6,1,239,26,33,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
248,240,34,26,18,18,1,240,26,34,1,3,3,3,3,4,3,3,1,21,3,1,0,0,1,1,0,0,1,0,18,0.7,0.253
249,241,35,26,18,18,1,241,26,35,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
250,242,35,26,18,18,1,242,26,35,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
251,243,35,26,18,18,1,243,26,35,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
252,244,36,26,3,3,1,244,26,36,3,3,3,3,3,1,3,3,1,19,5,1,1,0,1,1,0,0,0,0,18,0.265,0.253
253,245,36,26,3,3,1,245,26,36,3,3,3,3,3,1,3,3,1,19,5,1,1,0,1,1,0,0,0,0,18,0.265,0.253
254,246,36,26,3,3,1,246,26,36,3,3,3,3,3,1,3,3,1,19,5,1,1,0,1,1,0,0,0,0,18,0.265,0.253
255,247,36,26,3,3,1,247,26,36,3,3,3,3,3,1,3,3,1,19,5,1,1,0,1,1,0,0,0,0,18,0.265,0.253
256,248,36,26,3,3,1,248,26,36,3,3,3,3,3,1,3,3,1,19,5,1,1,0,1,1,0,0,0,0,18,0.265,0.253
257,249,36,26,3,3,1,249,26,36,3,3,3,3,3,1,3,3,1,19,5,1,1,0,1,1,0,0,0,0,18,0.265,0.253
258,250,36,26,3,3,1,250,26,36,3,3,3,3,3,1,3,3,1,19,5,1,1,0,1,1,0,0,0,0,18,0.265,0.253
259,251,36,26,3,3,1,251,26,36,3,3,3,3,3,1,3,3,1,19,5,1,1,0,1,1,0,0,0,0,18,0.265,0.253
260,252,36,26,3,3,1,252,26,36,3,3,3,3,3,1,3,3,1,19,5,1,1,0,1,1,0,0,0,0,18,0.265,0.253
261,253,36,26,3,3,1,253,26,36,3,3,3,3,3,1,3,3,1,19,5,1,1,0,1,1,0,0,0,0,18,0.265,0.253
262,254,36,26,3,3,1,254,26,36,3,3,3,3,3,1,3,3,1,19,5,1,1,0,1,1,0,0,0,0,18,0.265,0.253
263,255,36,26,3,3,1,255,26,36,3,3,3,3,3,1,3,3,1,19,5,1,1,0,1,1,0,0,0,0,18,0.265,0.253
264,256,37,26,5,5,2,256,26,37,3,14,14,14,14,3,14,14,14,7,6,2,0,1,1,1,1,0,0,0,4,0.265,0.585
265,257,38,26,3,3,3,257,26,38,2,2,2,2,2,2,2,2,3,19,5,3,1,1,1,1,0,0,0,0,3,0.718,0.718
266,258,38,26,3,3,3,258,26,38,2,2,2,2,2,2,2,2,3,19,5,3,1,1,1,1,0,0,0,0,3,0.718,0.718
267,259,39,26,18,18,1,259,26,39,1,3,3,3,3,4,3,3,1,21,3,1,0,0,1,1,0,0,1,0,18,0.7,0.253
268,260,39,26,18,18,1,260,26,39,1,3,3,3,3,4,3,3,1,21,3,1,0,0,1,1,0,0,1,0,18,0.7,0.253
269,261,39,26,18,18,1,261,26,39,1,3,3,3,3,4,3,3,1,21,3,1,0,0,1,1,0,0,1,0,18,0.7,0.253
270,262,39,26,18,18,1,262,26,39,1,3,3,3,3,4,3,3,1,21,3,1,0,0,1,1,0,0,1,0,18,0.7,0.253
271,263,39,26,18,18,1,263,26,39,1,3,3,3,3,4,3,3,1,21,3,1,0,0,1,1,0,0,1,0,18,0.7,0.253
272,264,39,26,18,18,1,264,26,39,1,3,3,3,3,4,3,3,1,21,3,1,0,0,1,1,0,0,1,0,18,0.7,0.253
273,265,40,26,18,18,1,265,26,40,1,1,3,3,1,14,1,3,4,21,3,1,1,0,1,0,0,0,0,1,18,0.7,0.253
274,266,41,26,18,18,1,266,26,41,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
275,267,41,26,18,18,1,267,26,41,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
276,268,41,26,18,18,1,268,26,41,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
278,269,42,26,3,3,3,269,26,42,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
279,270,42,26,3,3,3,270,26,42,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
280,271,42,26,3,3,3,271,26,42,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
281,272,43,26,3,3,3,272,26,43,2,2,2,2,2,2,2,2,3,19,5,3,1,1,1,1,0,0,0,0,3,0.718,0.718
282,273,43,26,3,3,3,273,26,43,2,2,2,2,2,2,2,2,3,19,5,3,1,1,1,1,0,0,0,0,3,0.718,0.718
283,274,43,26,3,3,3,274,26,43,2,2,2,2,2,2,2,2,3,19,5,3,1,1,1,1,0,0,0,0,3,0.718,0.718
284,275,43,26,3,3,3,275,26,43,2,2,2,2,2,2,2,2,3,19,5,3,1,1,1,1,0,0,0,0,3,0.718,0.718
285,276,43,26,3,3,3,276,26,43,2,2,2,2,2,2,2,2,3,19,5,3,1,1,1,1,0,0,0,0,3,0.718,0.718
286,277,44,26,7,7,1,277,26,44,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
287,278,44,26,7,7,1,278,26,44,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
288,279,44,26,7,7,1,279,26,44,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
289,280,45,26,18,18,1,280,26,45,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
290,281,45,26,18,18,1,281,26,45,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
291,282,45,26,18,18,1,282,26,45,3,3,3,3,3,4,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
292,283,46,26,3,3,3,283,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
293,284,46,26,3,3,3,284,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
294,285,46,26,3,3,3,285,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
295,286,46,26,3,3,3,286,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
296,287,46,26,3,3,3,287,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
297,288,46,26,3,3,3,288,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
298,289,46,26,3,3,3,289,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
299,290,46,26,3,3,3,290,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
300,291,46,26,3,3,3,291,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
301,292,46,26,3,3,3,292,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
302,293,46,26,3,3,3,293,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
303,294,46,26,3,3,3,294,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
304,295,46,26,3,3,3,295,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
305,296,46,26,3,3,3,296,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
306,297,46,26,3,3,3,297,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
307,298,46,26,3,3,3,298,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
308,299,46,26,3,3,3,299,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
309,300,46,26,3,3,3,300,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
310,301,46,26,3,3,3,301,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
311,302,46,26,3,3,3,302,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
312,303,46,26,3,3,3,303,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
313,304,46,26,3,3,3,304,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
314,305,46,26,3,3,3,305,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
315,306,46,26,3,3,3,306,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
316,307,46,26,3,3,3,307,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
317,308,46,26,3,3,3,308,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
319,309,46,26,3,3,3,309,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
320,310,46,26,3,3,3,310,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
321,311,46,26,3,3,3,311,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
322,312,46,26,3,3,3,312,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
323,313,46,26,3,3,3,313,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
324,314,46,26,3,3,3,314,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
325,315,46,26,3,3,3,315,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
326,316,46,26,3,3,3,316,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
327,317,46,26,3,3,3,317,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
328,318,46,26,3,3,3,318,26,46,2,2,2,2,2,1,2,2,3,19,5,3,1,0,1,1,0,0,0,0,3,0.718,0.718
329,319,47,26,6,6,1,319,26,47,3,3,3,3,3,1,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
330,320,47,26,6,6,1,320,26,47,3,3,3,3,3,1,3,3,1,21,3,1,1,0,1,1,0,0,1,0,18,0.265,0.253
331,321,48,26,18,18,1,321,26,48,1,3,3,3,3,4,3,3,18,21,3,1,0,0,1,1,0,0,1,0,18,0.7,0.253
332,322,48,26,18,18,1,322,26,48,1,3,3,3,3,4,3,3,18,21,3,1,0,0,1,1,0,0,1,0,18,0.7,0.253
333,323,48,26,18,18,1,323,26,48,1,3,3,3,3,4,3,3,18,21,3,1,0,0,1,1,0,0,1,0,18,0.7,0.253
334,324,48,26,18,18,1,324,26,48,1,3,3,3,3,4,3,3,18,21,3,1,0,0,1,1,0,0,1,0,18,0.7,0.253
335,325,48,26,18,18,1,325,26,48,1,3,3,3,3,4,3,3,18,21,3,1,0,0,1,1,0,0,1,0,18,0.7,0.253
336,326,49,26,8,8,4,326,26,49,8,8,8,8,8,10,8,8,8,6,7,9,1,0,1,1,1,0,0,0,8,0.355,0.355
337,327,49,26,8,8,4,327,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
338,328,49,26,10,10,4,328,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
339,329,49,26,10,10,4,329,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
340,330,49,26,10,10,4,330,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
341,331,49,26,10,10,5,331,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
342,332,49,26,10,10,4,332,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
343,333,49,26,10,10,4,333,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
344,334,49,26,10,10,5,334,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
345,335,49,26,10,10,4,335,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
346,336,49,26,10,10,4,336,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
347,337,49,26,10,10,4,337,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
348,338,49,26,10,10,4,338,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
349,339,49,26,10,10,4,339,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
350,340,49,26,8,8,4,340,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
351,341,49,26,8,8,4,341,26,49,8,8,8,8,8,10,8,8,8,6,7,9,1,0,1,1,1,0,0,0,8,0.355,0.355
353,342,49,26,8,8,4,342,26,49,8,8,8,8,8,10,8,8,8,6,7,9,1,0,1,1,1,0,0,0,8,0.355,0.355
354,343,49,26,8,8,4,343,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
355,344,49,26,10,10,4,344,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
356,345,49,26,10,10,4,345,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
357,346,49,26,10,10,4,346,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
358,347,49,26,10,10,4,347,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
359,348,49,26,10,10,4,348,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
360,349,49,26,10,10,4,349,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
361,350,49,26,10,10,4,350,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
362,351,49,26,10,10,4,351,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
363,352,49,26,10,10,4,352,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
364,353,49,26,8,8,4,353,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
365,354,49,26,8,8,4,354,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
366,355,49,26,8,8,4,355,26,49,8,8,8,8,8,10,8,8,8,6,7,9,1,0,1,1,1,0,0,0,8,0.355,0.355
367,356,49,26,8,8,4,356,26,49,8,8,8,8,8,10,8,8,8,6,7,9,1,0,1,1,1,0,0,0,8,0.355,0.355
368,357,49,26,8,8,4,357,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
369,358,49,26,9,9,4,358,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
370,359,49,26,9,9,4,359,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
371,360,49,26,10,10,4,360,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
372,361,49,26,10,10,4,361,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
373,362,49,26,10,10,4,362,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
374,363,49,26,8,8,4,363,26,49,8,8,8,8,8,10,8,8,8,6,7,9,1,0,1,1,1,0,0,0,8,0.355,0.355
375,364,49,26,8,8,4,364,26,49,8,8,8,8,8,10,8,8,8,6,7,9,1,0,1,1,1,0,0,0,8,0.355,0.355
376,365,49,26,8,8,4,365,26,49,5,5,5,5,5,10,5,5,5,4,12,7,1,0,1,1,1,0,0,0,9,0.387,0.387
377,366,49,26,8,8,4,366,26,49,5,5,5,5,5,8,5,5,5,4,12,7,1,0,1,1,1,0,0,0,9,0.387,0.387
378,367,49,26,9,9,4,367,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
379,368,49,26,9,9,4,368,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
380,369,49,26,10,10,4,369,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
381,370,49,26,10,10,4,370,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
382,371,49,26,10,10,4,371,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
383,372,49,26,9,9,4,372,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
384,373,49,26,8,8,4,373,26,49,8,8,8,8,8,10,8,8,8,6,7,9,1,0,1,1,1,0,0,0,8,0.355,0.355
385,374,49,26,8,8,4,374,26,49,5,5,5,5,5,10,5,5,5,4,12,7,1,0,1,1,1,0,0,0,9,0.387,0.387
386,375,49,26,8,8,4,375,26,49,5,5,5,5,5,8,5,5,5,4,12,7,1,0,1,1,1,0,0,0,9,0.387,0.387
387,376,49,26,8,8,4,376,26,49,5,5,5,5,5,8,5,5,5,4,12,7,1,0,1,1,1,0,0,0,9,0.387,0.387
388,377,49,26,8,8,4,377,26,49,5,5,5,5,5,8,5,5,5,4,12,7,1,0,1,1,1,0,0,0,9,0.387,0.387
389,378,49,26,9,9,4,378,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
390,379,49,26,10,10,4,379,26,49,7,7,7,7,7,9,7,7,7,3,8,6,1,0,1,1,1,0,0,0,10,0.491,0.491
391,380,49,26,10,10,5,380,26,49,10,10,10,10,10,8,10,10,10,1,10,4,1,0,1,1,1,0,1,0,12,0.598,0.598
392,381,49,26,10,10,4,381,26,49,5,5,5,5,5,8,5,5,5,4,12,7,1,0,1,1,1,0,0,0,9,0.387,0.387
393,382,49,26,10,10,4,382,26,49,5,5,5,5,5,8,5,5,5,4,12,7,1,0,1,1,1,0,0,0,9,0.387,0.387
394,383,49,26,10,10,4,383,26,49,5,5,5,5,5,8,5,5,5,4,12,7,1,0,1,1,1,0,0,0,9,0.387,0.387
395,384,49,26,10,10,4,384,26,49,5,5,5,5,5,8,5,5,5,4,12,7,1,0,1,1,1,0,0,0,9,0.387,0.387
396,385,49,26,9,9,4,385,26,49,5,5,5,5,5,8,5,5,5,4,12,7,1,0,1,1,1,0,0,0,9,0.387,0.387
397,386,49,26,9,9,4,386,26,49,5,5,5,5,5,8,5,5,5,4,12,7,1,0,1,1,1,0,0,0,9,0.387,0.387
398,387,49,26,9,9,4,387,26,49,5,5,5,5,5,8,5,5,5,4,12,7,1,0,1,1,1,0,0,0,9,0.387,0.387
399,388,49,26,9,9,4,388,26,49,5,5,5,5,5,8,5,5,5,4,12,7,1,0,1,1,1,0,0,0,9,0.387,0.387
