"seccion","munn.x","ife","mun","edon.x","lisnom","disfed1979","disfed1997","disfed2006","disfed2018","disloc2010","cab2010","disloc2018","nota","X","edon.y","munn.y","escenario1","escenario2","escenario3_cg","escenario3_jge","iee1","panal_cnv1","pan_clv1","pan_clv2","escenario3_tribunal","esc1_IEE1","esc1_panalCNV1","esc1_panCLV1","esc2_panCLV2","SQ","dsiSQ_E3"
66,8,20008,"ASUNCION OCOTLAN",20,995,9,9,4,4,19,"OCOTLAN DE MORELOS",3,"",66,20,8,2,3,3,3,8,2,6,3,3,0,1,0,1,19,0.678
67,8,20008,"ASUNCION OCOTLAN",20,831,9,9,4,4,19,"OCOTLAN DE MORELOS",3,"",67,20,8,2,3,3,3,8,2,6,3,3,0,1,0,1,19,0.678
68,9,20009,"ASUNCION TLACOLULITA",20,462,10,5,5,5,4,"TLACOLULA DE MATAMOROS",8,"",68,20,9,20,20,8,10,9,20,7,8,8,0,1,0,0,6,0.299
69,9,20009,"ASUNCION TLACOLULITA",20,190,10,5,5,5,4,"TLACOLULA DE MATAMOROS",8,"",69,20,9,20,20,8,10,9,20,7,8,8,0,1,0,0,6,0.299
70,10,20010,"AYOQUEZCO DE ALDAMA",20,1740,5,9,9,10,19,"OCOTLAN DE MORELOS",3,"",70,20,10,23,1,3,3,10,23,6,3,3,0,1,0,0,19,0.678
71,10,20010,"AYOQUEZCO DE ALDAMA",20,1109,5,9,9,10,19,"OCOTLAN DE MORELOS",3,"",71,20,10,23,1,3,3,10,23,6,3,3,0,1,0,0,19,0.678
72,10,20010,"AYOQUEZCO DE ALDAMA",20,1266,5,9,9,10,19,"OCOTLAN DE MORELOS",3,"",72,20,10,23,1,3,3,10,23,6,3,3,0,1,0,0,19,0.678
73,10,20010,"AYOQUEZCO DE ALDAMA",20,299,5,9,9,10,19,"OCOTLAN DE MORELOS",3,"",73,20,10,23,1,3,3,10,23,6,3,3,0,1,0,0,19,0.678
74,11,20011,"AYOTZINTEPEC",20,1237,2,4,1,1,18,"SAN JUAN BAUTISTA TUXTEPEC",9,"",74,20,11,22,8,9,9,11,22,9,9,9,0,1,0,0,18,0.297
75,11,20011,"AYOTZINTEPEC",20,1642,2,4,1,1,18,"SAN JUAN BAUTISTA TUXTEPEC",9,"",75,20,11,22,8,9,9,11,22,9,9,9,0,1,0,0,18,0.297
76,11,20011,"AYOTZINTEPEC",20,800,2,4,1,1,18,"SAN JUAN BAUTISTA TUXTEPEC",9,"",76,20,11,22,8,9,9,11,22,9,9,9,0,1,0,0,18,0.297
77,12,20012,"EL BARRIO DE LA SOLEDAD",20,1716,1,7,5,7,24,"MATIAS ROMERO AVENDAÑO",11,"",77,20,12,20,22,11,10,12,20,10,10,11,0,1,0,0,24,0.615
78,12,20012,"EL BARRIO DE LA SOLEDAD",20,963,1,7,5,7,24,"MATIAS ROMERO AVENDAÑO",11,"",78,20,12,20,22,11,10,12,20,10,10,11,0,1,0,0,24,0.615
79,12,20012,"EL BARRIO DE LA SOLEDAD",20,1545,1,7,5,7,24,"MATIAS ROMERO AVENDAÑO",11,"",79,20,12,20,22,11,10,12,20,10,10,11,0,1,0,0,24,0.615
80,12,20012,"EL BARRIO DE LA SOLEDAD",20,1077,1,7,5,7,24,"MATIAS ROMERO AVENDAÑO",11,"",80,20,12,20,22,11,10,12,20,10,10,11,0,1,0,0,24,0.615
81,12,20012,"EL BARRIO DE LA SOLEDAD",20,133,1,7,5,7,24,"MATIAS ROMERO AVENDAÑO",11,"",81,20,12,20,22,11,10,12,20,10,10,11,0,1,0,0,24,0.615
82,12,20012,"EL BARRIO DE LA SOLEDAD",20,954,1,7,5,7,24,"MATIAS ROMERO AVENDAÑO",11,"",82,20,12,20,22,11,10,12,20,10,10,11,0,1,0,0,24,0.615
83,12,20012,"EL BARRIO DE LA SOLEDAD",20,593,1,7,5,7,24,"MATIAS ROMERO AVENDAÑO",11,"",83,20,12,20,22,11,10,12,20,10,10,11,0,1,0,0,24,0.615
84,12,20012,"EL BARRIO DE LA SOLEDAD",20,1111,1,7,5,7,24,"MATIAS ROMERO AVENDAÑO",11,"",84,20,12,20,22,11,10,12,20,10,10,11,0,1,0,0,24,0.615
85,12,20012,"EL BARRIO DE LA SOLEDAD",20,403,1,7,5,7,24,"MATIAS ROMERO AVENDAÑO",11,"",85,20,12,20,22,11,10,12,20,10,10,11,0,1,0,0,24,0.615
86,12,20012,"EL BARRIO DE LA SOLEDAD",20,1085,1,7,5,7,24,"MATIAS ROMERO AVENDAÑO",11,"",86,20,12,20,22,11,10,12,20,10,10,11,0,1,0,0,24,0.615
87,13,20013,"CALIHUALA",20,515,6,3,6,6,21,"SANTIAGO JUXTLAHUACA",5,"",87,20,13,14,12,5,5,5,14,11,5,5,0,1,0,0,15,0.616
88,13,20013,"CALIHUALA",20,175,6,3,6,6,21,"SANTIAGO JUXTLAHUACA",5,"",88,20,13,14,12,5,5,5,14,11,5,5,0,1,0,0,15,0.616
89,13,20013,"CALIHUALA",20,331,6,3,6,6,21,"SANTIAGO JUXTLAHUACA",5,"",89,20,13,14,12,5,5,5,14,11,5,5,0,1,0,0,15,0.616
90,14,20014,"CANDELARIA LOXICHA",20,1657,9,10,10,10,8,"SAN PEDRO POCHUTLA",10,"",90,20,14,11,18,10,11,13,11,22,11,10,0,1,0,0,7,0.606
91,14,20014,"CANDELARIA LOXICHA",20,1283,9,10,10,10,8,"SAN PEDRO POCHUTLA",10,"",91,20,14,11,18,10,11,13,11,22,11,10,0,1,0,0,7,0.606
92,14,20014,"CANDELARIA LOXICHA",20,92,9,10,10,10,8,"SAN PEDRO POCHUTLA",10,"",92,20,14,11,18,10,11,13,11,22,11,10,0,1,0,0,7,0.606
93,14,20014,"CANDELARIA LOXICHA",20,627,9,10,10,10,8,"SAN PEDRO POCHUTLA",10,"",93,20,14,11,18,10,11,13,11,22,11,10,0,1,0,0,7,0.606
94,14,20014,"CANDELARIA LOXICHA",20,282,9,10,10,10,8,"SAN PEDRO POCHUTLA",10,"",94,20,14,11,18,10,11,13,11,22,11,10,0,1,0,0,7,0.606
95,14,20014,"CANDELARIA LOXICHA",20,1179,9,10,10,10,8,"SAN PEDRO POCHUTLA",10,"",95,20,14,11,18,10,11,13,11,22,11,10,0,1,0,0,7,0.606
96,14,20014,"CANDELARIA LOXICHA",20,872,9,10,10,10,8,"SAN PEDRO POCHUTLA",10,"",96,20,14,11,18,10,11,13,11,22,11,10,0,1,0,0,7,0.606
97,15,20015,"CHAHUITES",20,814,1,7,7,7,23,"HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA",11,"",97,20,15,18,22,11,6,12,18,5,6,11,0,1,0,0,24,0.615
98,15,20015,"CHAHUITES",20,1114,1,7,7,7,23,"HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA",11,"",98,20,15,18,22,11,6,12,18,5,6,11,0,1,0,0,24,0.615
99,15,20015,"CHAHUITES",20,979,1,7,7,7,23,"HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA",11,"",99,20,15,18,22,11,6,12,18,5,6,11,0,1,0,0,24,0.615
100,15,20015,"CHAHUITES",20,1078,1,7,7,7,23,"HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA",11,"",100,20,15,18,22,11,6,12,18,5,6,11,0,1,0,0,24,0.615
101,15,20015,"CHAHUITES",20,1080,1,7,7,7,23,"HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA",11,"",101,20,15,18,22,11,6,12,18,5,6,11,0,1,0,0,24,0.615
102,15,20015,"CHAHUITES",20,1258,1,7,7,7,23,"HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA",11,"",102,20,15,18,22,11,6,12,18,5,6,11,0,1,0,0,24,0.615
103,15,20015,"CHAHUITES",20,957,1,7,7,7,23,"HEROICA CIUDAD DE JUCHITAN DE ZARAGOZA",11,"",103,20,15,18,22,11,6,12,18,5,6,11,0,1,0,0,24,0.615
104,16,20016,"CHALCATONGO DE HIDALGO",20,905,7,6,6,6,13,"HEROICA CIUDAD DE TLAXIACO",12,"",104,20,16,7,9,12,12,14,7,14,12,12,0,1,0,0,13,0.698
105,16,20016,"CHALCATONGO DE HIDALGO",20,1034,7,6,6,6,13,"HEROICA CIUDAD DE TLAXIACO",12,"",105,20,16,7,9,12,12,14,7,14,12,12,0,1,0,0,13,0.698
106,16,20016,"CHALCATONGO DE HIDALGO",20,830,7,6,6,6,13,"HEROICA CIUDAD DE TLAXIACO",12,"",106,20,16,7,9,12,12,14,7,14,12,12,0,1,0,0,13,0.698
107,16,20016,"CHALCATONGO DE HIDALGO",20,970,7,6,6,6,13,"HEROICA CIUDAD DE TLAXIACO",12,"",107,20,16,7,9,12,12,14,7,14,12,12,0,1,0,0,13,0.698
108,16,20016,"CHALCATONGO DE HIDALGO",20,549,7,6,6,6,13,"HEROICA CIUDAD DE TLAXIACO",12,"",108,20,16,7,9,12,12,14,7,14,12,12,0,1,0,0,13,0.698
109,16,20016,"CHALCATONGO DE HIDALGO",20,810,7,6,6,6,13,"HEROICA CIUDAD DE TLAXIACO",12,"",109,20,16,7,9,12,12,14,7,14,12,12,0,1,0,0,13,0.698
110,16,20016,"CHALCATONGO DE HIDALGO",20,819,7,6,6,6,13,"HEROICA CIUDAD DE TLAXIACO",12,"",110,20,16,7,9,12,12,14,7,14,12,12,0,1,0,0,13,0.698
111,17,20017,"CIENEGA DE ZIMATLAN",20,1433,5,9,9,3,19,"OCOTLAN DE MORELOS",3,"",111,20,17,23,1,3,3,10,23,6,3,3,0,1,0,0,19,0.678
112,17,20017,"CIENEGA DE ZIMATLAN",20,1279,5,9,9,3,19,"OCOTLAN DE MORELOS",3,"",112,20,17,23,1,3,3,10,23,6,3,3,0,1,0,0,19,0.678
113,18,20018,"COATECAS ALTAS",20,1298,9,10,9,10,10,"HEROICA CIUDAD DE EJUTLA DE CRESPO",13,"",113,20,18,19,5,13,13,10,19,8,13,13,0,1,0,0,10,0.743
114,18,20018,"COATECAS ALTAS",20,1456,9,10,9,10,10,"HEROICA CIUDAD DE EJUTLA DE CRESPO",13,"",114,20,18,19,5,13,13,10,19,8,13,13,0,1,0,0,10,0.743
115,18,20018,"COATECAS ALTAS",20,642,9,10,9,10,10,"HEROICA CIUDAD DE EJUTLA DE CRESPO",13,"",115,20,18,19,5,13,13,10,19,8,13,13,0,1,0,0,10,0.743
116,18,20018,"COATECAS ALTAS",20,735,9,10,9,10,10,"HEROICA CIUDAD DE EJUTLA DE CRESPO",13,"",116,20,18,19,5,13,13,10,19,8,13,13,0,1,0,0,10,0.743
117,19,20019,"COICOYAN DE LAS FLORES",20,1120,6,3,6,6,21,"SANTIAGO JUXTLAHUACA",14,"",117,20,19,8,7,14,14,15,8,15,14,14,0,1,0,0,12,0.505
118,19,20019,"COICOYAN DE LAS FLORES",20,286,6,3,6,6,21,"SANTIAGO JUXTLAHUACA",14,"",118,20,19,8,7,14,14,15,8,15,14,14,0,1,0,0,12,0.505
119,19,20019,"COICOYAN DE LAS FLORES",20,1868,6,3,6,6,21,"SANTIAGO JUXTLAHUACA",14,"",119,20,19,8,7,14,14,15,8,15,14,14,0,1,0,0,12,0.505
120,19,20019,"COICOYAN DE LAS FLORES",20,1485,6,3,6,6,21,"SANTIAGO JUXTLAHUACA",14,"",120,20,19,8,7,14,14,15,8,15,14,14,0,1,0,0,12,0.505
121,20,20020,"LA COMPAÑIA",20,914,8,10,9,10,10,"HEROICA CIUDAD DE EJUTLA DE CRESPO",13,"",121,20,20,19,1,13,13,10,19,8,13,13,0,1,0,0,10,0.743
122,20,20020,"LA COMPAÑIA",20,394,8,10,9,10,10,"HEROICA CIUDAD DE EJUTLA DE CRESPO",13,"",122,20,20,19,1,13,13,10,19,8,13,13,0,1,0,0,10,0.743
123,20,20020,"LA COMPAÑIA",20,943,8,10,9,10,10,"HEROICA CIUDAD DE EJUTLA DE CRESPO",13,"",123,20,20,19,1,13,13,10,19,8,13,13,0,1,0,0,10,0.743
124,20,20020,"LA COMPAÑIA",20,643,8,10,9,10,10,"HEROICA CIUDAD DE EJUTLA DE CRESPO",13,"",124,20,20,19,1,13,13,10,19,8,13,13,0,1,0,0,10,0.743
125,21,20021,"CONCEPCION BUENAVISTA",20,269,6,3,3,3,14,"SAN PEDRO Y SAN PABLO TEPOSCOLULA",7,"",125,20,21,1,6,7,7,7,1,4,7,7,0,1,0,0,16,0.377
126,21,20021,"CONCEPCION BUENAVISTA",20,305,6,3,3,3,14,"SAN PEDRO Y SAN PABLO TEPOSCOLULA",7,"",126,20,21,1,6,7,7,7,1,4,7,7,0,1,0,0,16,0.377
127,22,20022,"CONCEPCION PAPALO",20,922,5,2,2,2,17,"TEOTITLAN DE FLORES MAGON",15,"",127,20,22,4,13,15,15,16,4,16,15,15,0,1,0,0,17,0.758
128,22,20022,"CONCEPCION PAPALO",20,423,5,2,2,2,17,"TEOTITLAN DE FLORES MAGON",15,"",128,20,22,4,13,15,15,16,4,16,15,15,0,1,0,0,17,0.758
129,22,20022,"CONCEPCION PAPALO",20,116,5,2,2,2,17,"TEOTITLAN DE FLORES MAGON",15,"",129,20,22,4,13,15,15,16,4,16,15,15,0,1,0,0,17,0.758
130,22,20022,"CONCEPCION PAPALO",20,631,5,2,2,2,17,"TEOTITLAN DE FLORES MAGON",15,"",130,20,22,4,13,15,15,16,4,16,15,15,0,1,0,0,17,0.758
131,23,20023,"CONSTANCIA DEL ROSARIO",20,1188,7,6,6,6,12,"PUTLA VILLA DE GUERRERO",14,"",131,20,23,8,7,14,14,15,8,15,14,14,0,1,0,0,12,0.505
132,23,20023,"CONSTANCIA DEL ROSARIO",20,716,7,6,6,6,12,"PUTLA VILLA DE GUERRERO",14,"",132,20,23,8,7,14,14,15,8,15,14,14,0,1,0,0,12,0.505
133,23,20023,"CONSTANCIA DEL ROSARIO",20,716,7,6,6,6,12,"PUTLA VILLA DE GUERRERO",14,"",133,20,23,8,7,14,14,15,8,15,14,14,0,1,0,0,12,0.505
